,year,to_country_id,performer,song,composers,lyricists,lyrics,youtube_url
10,1956,fr,Dany Dauberson,Il Est LA ,Simone Vallauris,,"Je ne peux changer ma vie, il est lA \nAussitA't que je le fuis, il est lA \nJ'ai beau faire, j'ai beau dire\nJe ne vois que son sourire\nQui toujours semble me dire:\n""Je suis lA , je suis lA ""\n\nAccrochA(c) dans tous mes rAaves, il est lA \nEt me poursuivant sans trAave, il est lA \nIl a le pouvoir du diable\nQui rA""gne sur ses semblables\nMais quel pouvoir formidable\nIl est lA , il est lA \n\nJ'ai tout tentA(c) pour l'oublier\nJ'ai traversA(c) le monde entier\nMais aucun homme ne m'a donnA(c)\nUne telle part d'A(c)ternitA(c)\n\nJe ne peux changer ma vie, il est lA \nAussitA't que je le fuis, il est lA \nIl est extraordinaire\nEt puis comme il sait vous plaire\nNon, il n'y a rien A  faire\nIl est lA , il est lA \n\nPartout ses yeux, partout ses lA""vres\nJe sens en moi comme une fiA""vre\nTout mon Aatre est anA(c)anti\nEt tout le temps je me redis:\n\nJe ne peux changer ma vie, il est lA \nAussitA't que je le fuis, il est lA \nJ'ai beau faire, j'ai beau dire\nJe ne vois que son sourire\nQui toujours semble me dire:\n""Je suis lA , je suis lA ""\n\nQuand je marche dans la rue, il est lA \nAu milieu de la cohue, je le vois\nIl a sur moi une emprise\nQui me fait peur et me grise\nEt ma volontA(c) se brise\nIl est lA , il est lA \n\nOh, j'ai vraiment tout essayA(c)\nSans jamais pouvoir me passer\nNi de son corps ni d'ses baisers\nC'est impossible d'pas l'aimer\n\nJe ne peux changer ma vie, il est lA \nAussitA't que je le fuis, il est lA \nEt jusqu'A  ma derniA""re heure\nJusqu'A  mon dernier quart d'heure\nUne seule chose demeure\n\nJe le verrai lA  devant moi\nAEUR tout jamais il sera lA \nIl est lA , il est lA , il est lA \nIl est lA \n\nIl est lA ",https://youtube.com/watch?v=c4EpfbOZVZA
11,1956,it,Tonina Torielli,Amami Se Vuoi,Vittorio Mascheroni,Mario Panzeri,"Mi piace tanto accarezzarti\nSugli occhi timidi baciarti\nMa non mi sento di giurarti\nSe tu mi chiedi eterno amor\n\nAbbandoniamoci al destino\nSoltanto lui non sa ingannar\nE se rimango a te vicino\nNon lusingarti, ma non disperar, no\n\nAmami se vuoi, tienimi se puoi\nIo son l'amor che svanisce\nMa dei baci miei non fidarti mai\nIo son l'amor che ferisce\n\nE quando fra le braccia mi stringi dolcemente\nAncor piA1 dolcemente ti dirA2\nAmami se vuoi, tienimi se puoi\nPerchA(c) io sono cosA!\n\nE se rimango a te vicino\nNon lusingarti, ma non disperar, no\n\nAmami se vuoi, tienimi se puoi\nIo son l'amor che svanisce\nMa dei baci miei non fidarti mai\nIo son l'amor che ferisce\n\nE quando fra le braccia mi stringi dolcemente\nAncor piA1 dolcemente ti dirA2\nAmami se vuoi, tienimi se puoi\nPerchA(c) io sono cosA!",https://youtube.com/watch?v=k19AnMpqnE4
12,1957,nl,Corry Brokken,Net Als Toen,Guus Jansen,Willy van Hemert,"Zit niet zo suf met die eeuwige krant\nGaap niet van slaap of verveling\n'k Ben toch je vrouw en ik eet uit je hand\nMaar 'k eet niet van de bedeling\n\nKijk me niet aan of je denkt: 'leef je nog?'\nBen ik nog altijd die vrouw\nWaarmee je destijds - wanneer was dat toch?\nPer se dat avontuurtje hebben wou\n\nWees nog eens lief, net als toen\nVraag me nog eens om een zoen\nBreng me weer rozen, sta weer te blozen\nAls je me ziet, net als toen\nWees nog eens lief en galant\nVind me weer mooi en charmant\nDan wordt de wereld weer net als vroeger\nEen sprookjesland\n\nJa, je wordt dik en je haar wordt al grijs\nMaar je kunt heus nog wel flirten\nAch, je bent soms nog zo'n kind, zo onwijs\nNurks en baldadig om beurten\n\nWeet je nog? Weet je nog? Zeg nu niet nee\nWeet je nog, dat je toen zei?\n't Gelukkigste paar, dat zijn wij met z'n twee\nMijn liefde, liefste lief, gaat nooit voorbij\n\nWees nog eens lief, net als toen\nVraag me nog eens om een zoen\nBreng me weer rozen, sta weer te blozen\nAls je me ziet, net als toen\nWees nog eens lief en galant\nVind me weer mooi en charmant\nDan wordt de wereld weer net als vroeger\nEen sprookjesland",https://youtube.com/watch?v=e5gLyP977ew
13,1957,fr,Paule Desjardins,La Belle Amour,Guy Lafarge,Francis Carco,"Si vous aimez la nature, les lilas, les p'tits oiseaux\nLe Muscadet, la friture et la belle aventure\nSuivez le bord de l'eau\n\nVous verrez une guinguette oA1 vous pourrez vous griser\nAux flonflons d'un bal musette, des yeux clairs de Lisette\nAvant de dA(c)cider dans un baiser de tout oser\n\nComme l'eau coule A  la fontaine, cette chanson\nC'est la chanson que filles et garASSons chantent chacun A  sa faASSon\nElle sera, la chose est certaine, dans tous les cA""urs\nEt pour toujours aEUR"" la chanson de la belle amour\n\nReprenons-la sous les lilas et lon lon la par-ci par-lA \nC'est la belle amour\n\nCependant voici l'automne, la guinguette aux volets clos\nN'a plus d'amoureux, personne ne vient quand l'heure sonne\nRAaver au bord de l'eau\n\nC'est le bal des feuilles mortes qui dansent sur le gravier\nEt qui vont de porte en porte au vent qui les emporte\nTournoyer par milliers en attendant quoi? aEUR"" Le printemps\n\nReprenons-la sous les lilas et lon lon la par-ci par-lA \nC'est la belle amour\nLa belle amour",https://youtube.com/watch?v=g2-XDnBHEbc
14,1957,dk,Birthe Wilke & Gustav Winckler,Skibet Skal Sejle I Nat,Erik Fiehn,"Poul SA,rensen","Farvel da, min tA,s, og hold dig nu kvik\nJeg tilstAY=r, mit hjerte gi'r li'som et stik\nImens jeg kysser dig nu\nJeg elsker dig, du\nMen skibet skal sejle i nat\nMen skibet skal sejle i nat\n\nVi mA,dtes i sjov, vi svA|rmede lidt\nMen det, der var letsind, blev alvor med A(c)t\nOg du blev alting for mig\nNu er der kun dig\nMen skibet skal sejle i nat\nJa, skibet skal sejle i nat\n\nVi lA|gger en plan, vi drA,mmer en drA,m\nVi kA|mper os fremad trods modvind og strA,m\nMod det vi A,nsker sAY= hedt\nSAY= ser vi med A(c)t\nAt skibet skal sejle i nat\nJa, skibet skal sejle i nat\n\nAften i nymAY=nens tegn\nTo stAY=r i mA,rket pAY= kaj'n\nPige og mand\nA%0n fra sA, - A(c)n fra land\nAlting er sagt, nu stAY=r de der kun\nI tavshed\nTil sidst siger hun:\n\nFarvel da, min ven, pas godt pAY= dig selv\nJeg syn's, du har vA|ret sAY= fin og reel\nOg jeg vil vA|re dig tro\nMit liv blev os to\nMen skibet skal sejle i nat\nMen skibet skal sejle i nat\n\nEndskA,nt jeg er din, med sjA|l og med krop\nOg nu kan jeg larme og sA|tte mig op\nMod det, jeg ved, der skal ske\nOg grA|de og be'\nFor skibet skal sejle i nat\nJa, skibet skal sejle i nat\n\nPAY= A(c)n gang gAY=r verden i stAY=\nMan hA,rer signalklokken slAY=\nEns hAY=b ligger knust, hvert eneste et\nVi menn'sker bestemmer sAY= lidt\n\nDen lykke, vi tror er fast og solid\nDen er kun pAY= landlov pAY= ubestemt tid\nFor alt, vi ejer, skal bort\nVi tror, det er vort\nMen skibet skal sejle i nat\nJa, skibet skal sejle i nat",https://youtube.com/watch?v=vX3WRMF5TuY
15,1957,lu,"DaniA""le DuprA(c)",Amours Mortes (Tant De Peine),Jean-Pierre Kemmer,Jacques Taber,"Toi que j'aime\nTu m'as fait tant de peine\nComment effacer\nLes jours passA(c)s?\n\nTant de peine\nAu long des jours je traA(r)ne\nMendiant au souvenir\nUn peu de toi\n\nTa voix dans un rAave\nJe m'en souviens\nMurmurait sans trAave\nNe demandait rien\nTu A(c)tais si tendre\nCe soir d'A(c)tA(c)\nComment se dA(c)fendre\nDe t'A(c)couter?\n\nPlus personne\nEt ma vie monotone\nS'A(c)grA""ne au long des jours\nSans ton amour\nSans toi je frissonne\n\nCherchant ta main\nDans la nuit d'automne\nJ'espA""re en vain\nEt pourtant quand mAame\n\nMa vie en moi\nMe hurle: Je n'aime\nN'aime que toi\nTant de peine\nTu m'as fait tant de peine\n\nMais comment effacer\nLes jours passA(c)s?\nTa voix, tes lA""vres\nEmprisonnent ma fiA""vre\nMais comment effacer\nLes jours passA(c)s?",https://youtube.com/watch?v=-0nMxZ8L1cI
16,1957,de,Margot Hielscher,"Telefon, Telefon",Friedrich Meyer,Ralph Maria Siegel,"Hallo aEUR"" how do you do? \nHallo aEUR"" merci beaucoup \nSo klingt's aus allen LA$?ndern an mein Ohr\nHallo aEUR"" grazie, sA!, sA! \nHallo aEUR"" nada por mA \nMein Herz ist schon vergeben, no seA+-or \n\nTelefon, Telefon, wenn dein Ruf erklingt\nFrag ich mich beim ersten Ton, was er Neues bringt\nTelefon, Telefon, still vergeht die Zeit\nLange, lange wart ich schon, gestern so wie heut\n\nDu kennst meine grosse Sehnsucht\nNach dem SchAPnsten dieser Welt\nDas mein Herz und meine Seele\nTag und Nacht in Atem hA$?lt\n\nTelefon, Telefon, lang war ich allein\nSag, wann werde ich zum Lohn endlich glA 1/4 cklich sein?\n\nHallo aEUR"" endlich, ChA(c)ri\nHallo aEUR"" was, morgen frA 1/4 h?\nSag, warum kommst du nicht mehr heute nacht?\nHallo aEUR"" hA$?ng noch nicht ein\nHallo aEUR"" ich bin allein\nUnd hab den ganzen Tag an dich gedacht\n\nTelefon, Telefon, wenn dein Ruf erklingt\nFrag ich mich beim ersten Ton, was er Neues bringt\nTelefon, Telefon, still vergeht die Zeit\nLange, lange wart ich schon, gestern so wie heut\n\nDu kennst meine grosse Sehnsucht\nNach dem SchAPnsten dieser Welt\nDas mein Herz und meine Seele\nTag und Nacht in Atem hA$?lt\n\nTelefon, Telefon, lang war ich allein\nSag, wann werde ich zum Lohn endlich glA 1/4 cklich sein?\n\nHallo? Oh, jetzt kann ich nicht mehr sprechen\nMein Lied ist aus aEUR"" au revoir, bonsoir",https://youtube.com/watch?v=NoDpE2LtoZA
17,1957,it,Nunzio Gallo,Corde Della Mia Chitarra,Mario Ruccione,Giuseppe Fiorelli,"A^ tornata\nL'hanno accolta le stesse cose\nL'hanno attesa le stesse rose\nDolce sogno dagli occhi verdi\nA^ tornata ma A"" troppo tardi\nTroppo tardi per chi aspettA2\n\nCorde della mia chitarra\nSe la mano trema sull'accordo\nSe la musica si perde\nNell'indifferenza di uno sguardo\n\nCorde della mia chitarra\nPerchA(c) vi fermate, perchA(c) non suonate?\nVoi sole per me\nAh, com'era dolce questa musica\nAh, e come adesso sembra inutile\nSe non ci ascolterA , non vi fermate\nCorde della mia chitarra\nSuonate per me\n\nCorde della mia chitarra\nPerchA(c) vi fermate, perchA(c) non suonate?\nVoi sole per me\nAh, com'era dolce questa musica\nAh, e come adesso sembra inutile\nSe non ci ascolterA , non vi fermate\nCorde della mia chitarra\nSuonate per me\n\nSuonate, suonate\nCorde della mia chitarra",https://youtube.com/watch?v=uUPzp2XJIyo
18,1957,gb,Patricia Bredin,All,Reynell Wreford,Alan Stranks,"All the golden dreams of yesterday\nAll the fragrance of a bygone May\nAll the words two hearts in love can say\nAll you'll ever mean to me, my darling\n\nAll we've shared throughout the passing years\nAll the laughter, all the sighs, the tears\nAll the joy of living, loving and forgiving\nThese are all to me\n\nAll the laughter, all the sighs, the tears\nAll the joy of living, loving and forgiving\nThese are all to me",https://youtube.com/watch?v=LGHNEpTNcXU
19,1957,be,Bobbejaan Schoepen,Straatdeuntje,Harry FrA(c)kin,Eric Franssen,"Langs de straten danst er een deuntje\nEn ik blijf even staan\nWaar komt toch dat aardige deuntje\nWel zo ineens vandaan?\n\nHet speelt in de bomen\nDartelt in de wind\nHet is niet te tomen\n't Wordt al gauw m'n vriend\n\nLangs de straten zweeft er een deuntje\n't Is of een zonnestraal\nDoordringt met dat aardige deuntje\nTot in het kleinst portaal\n\nTralalala tralala tralalala...\nTralalala tralala tralalala...\n\nLangs de straten danst er een deuntje\nHet klinkt voor groot en klein\nOh, wat kan zo'n eenvoudig deuntje\nAl gauw onmisbaar zijn\n\nHet klopt op de ruiten\nVraagt: ""Laat mij erin""\nIk kan het zo fluiten\n't Stemt me goed gezind\n\nLangs de straten zweeft er een deuntje\nHet volgt mij overal\nEn ik hoop dat dit aardig deuntje\nSteeds mijn vriend blijven zal\n\nTralalala tralala tralalala...\nTralalala lalala tralalala...",https://youtube.com/watch?v=mu8ueVHTb9k
20,1957,ch,Lys Assia,L'enfant Que J'A(c)tais,GA(c)o Voumard,A%0mile Gardaz,"L'enfant que j'A(c)tais, oA1 joue-t-il aujourd'hui?\nLes fleurs que j'aimais, qui me les a cueillies?\nMon cA""ur, te souviens-tu les robes blanches\nSur le chemin perdu de nos dimanches?\n\nDes mots pour chanter un visage d'ami\nDes nuits pour rAaver, j'A(c)tais riche A  l'envie\nQuand le cA""ur aux aguets la mA""che folle\nS'en allait A  l'A(c)cole, l'enfant que j'A(c)tais\nLe temps d'un hiver, la ride vous prend\nLe temps d'un amour, et l'on devient grand\nIl en a coulA(c) de l'eau sous les ponts\nRAaves oubliA(c)s au fil des saisons\nLe temps d'un sourire, on est amoureux\nLe temps de mentir dA(c)jA  l'on est vieux\n\nL'enfant que j'A(c)tais, oA1 s'est-il A(c)garA(c)?\nLes fleurs que j'aimais, qui me les a fanA(c)es?\nMon cA""ur, te souviens-tu de nos promesses?\nLa vie n'a pas voulu de ta tendresse\nDes mots pour aimer, des espoirs et des nuits\nMensonges dorA(c)s, j'A(c)tais riche A  l'envie\nQuand le cA""ur aux aguets l'amour en tAate\nS'en allait A  la fAate, l'enfant que j'A(c)tais",https://youtube.com/watch?v=16ltDhw2lxs
