,Year,Country,Performer,Song,Place F,Points F,Place SF1,Points SF1,Place SF2,Points SF2
92,1963,Denmark,b'Grethe and J\xc3\xb8rgen Ingmann',b'Dansevise',1,42,,,,
93,1963,Finland,b'Laila Halme',b'Muistojeni Laulu',13,0,,,,
94,1963,France,b'Alain Barri\xc3\xa8re',b'Elle \xc3\xa9tait Si Jolie',5,25,,,,
95,1963,Germany,b'Heidi Br\xc3\xbchl',b'Marcel',9,5,,,,
96,1963,Italy,b'Emilio Pericoli',b'Uno Per Tutte',3,37,,,,
97,1963,Luxembourg,b'Nana Mouskouri',b'A Force De Prier',8,13,,,,
98,1963,Monaco,b'Fran\xc3\xa7oise Hardy',"b""L'amour S'en Va""",5,25,,,,
99,1963,Netherlands,b'Annie Palmen',b'Een Speeldoos',13,0,,,,
100,1963,Norway,b'Anita Thallaug',b'Solhverv',13,0,,,,
101,1963,Spain,b'Jos\xc3\xa9 Guardiola',b'Algo Prodigioso',12,2,,,,
102,1963,Sweden,b'Monica Zetterlund',b'En G\xc3\xa5ng I Stockholm',13,0,,,,
103,1963,Switzerland,b'Esther Ofarim',"b""T'en Va Pas""",2,40,,,,
104,1963,United Kingdom,b'Ronnie Carroll',b'Say Wonderful Things',4,28,,,,
105,1963,Yugoslavia,b'Vice Vukov',b'Brodovi',11,3,,,,
106,1964,Austria,b'Udo J\xc3\xbcrgens',"b'Warum Nur, Warum?'",6,11,,,,
107,1964,Belgium,b'Robert Cogoi',b'Pr\xc3\xa8s De Ma Rivi\xc3\xa8re',10,2,,,,
108,1964,Denmark,b'Bj\xc3\xb8rn Tidmand',b'Sangen Om Dig',9,4,,,,
109,1964,Finland,b'Lasse M\xc3\xa5rtenson',b'Laiskotellen',7,9,,,,
110,1964,France,b'Rachel',b'Le Chant De Mallory',4,14,,,,
111,1964,Germany,b'Nora Nova',b'Man Gew\xc3\xb6hnt Sich So Schnell An Das Sch\xc3\xb6ne',13,0,,,,
112,1964,Italy,b'Gigliola Cinquetti',"b""Non Ho L'\xc3\xa9t\xc3\xa0""",1,49,,,,
113,1964,Luxembourg,b'Hugues Aufray',b'D\xc3\xa8s Que Le Printemps Revient',4,14,,,,
114,1964,Monaco,b'Romuald',b'O\xc3\xb9 Sont-elles Pass\xc3\xa9es?',3,15,,,,
115,1964,Netherlands,b'Anneke Gr\xc3\xb6nloh',b'Jij Bent Mijn Leven',10,2,,,,
116,1964,Norway,b'Arne Bendiksen',b'Spiral',8,6,,,,
117,1964,Portugal,b'Ant\xc3\xb3nio Calv\xc3\xa1rio',b'Ora\xc3\xa7\xc3\xa3o',13,0,,,,
118,1964,Spain,"b'Tim, Nelly and Tony'",b'Caracola',12,1,,,,
119,1964,Switzerland,b'Anita Traversi',b'I Miei Pensieri',13,0,,,,
120,1964,United Kingdom,b'Matt Monro',b'I Love The Little Things',2,17,,,,
121,1964,Yugoslavia,b'Sabahudin Kurt',b'Zivot Je Sklopio Krug',13,0,,,,
122,1965,Austria,b'Udo J\xc3\xbcrgens',"b""Sag Ihr, Ich Lass' Sie Gr\xc3\xbc\xc3\x9fen""",4,16,,,,
123,1965,Belgium,b'Lize Marke',b'Als Het Weer Lente Is',15,0,,,,
124,1965,Denmark,b'Birgit Br\xc3\xbcel',b'For Din Skyld',7,10,,,,
125,1965,Finland,b'Viktor Klimenko',b'Aurinko Laskee L\xc3\xa4nteen',15,0,,,,
126,1965,France,b'Guy Mardel',"b""N'avoue Jamais""",3,22,,,,
127,1965,Germany,b'Ulla Wiesner',"b'Paradies, Wo Bist Du?'",15,0,,,,
128,1965,Ireland,b'Butch Moore',"b""I'm Walking The Streets In The Rain""",6,11,,,,
129,1965,Italy,b'Bobby Solo',"b'Se Piangi, Se Ridi'",5,15,,,,
130,1965,Luxembourg,b'France Gall',"b'Poup\xc3\xa9e De Cire, Poup\xc3\xa9e De Son'",1,32,,,,
131,1965,Monaco,b'Marjorie No\xc3\xabl',"b""Va Dire \xc3\xa0 L'amour""",9,7,,,,
132,1965,Netherlands,b'Conny Van den bos',b'Het Is Genoeg',11,5,,,,
133,1965,Norway,b'Kirsti Sparboe',b'Karusell',13,1,,,,
134,1965,Portugal,b'Simone de Oliviera',b'Sol De Inverno',13,1,,,,
135,1965,Spain,b'Conchita Bautista',"b'Qu\xc3\xa9 Bueno, Qu\xc3\xa9 Bueno'",15,0,,,,
136,1965,Sweden,b'Ingvar Wixell',b'Absent Friend',10,6,,,,
137,1965,Switzerland,b'Yovanna',b'Non \xc3\xa0 Jamais Sans Toi',8,8,,,,
138,1965,United Kingdom,b'Kathy Kirby',b'I Belong',2,26,,,,
139,1965,Yugoslavia,b'Vice Vukov',b'Ceznja',12,2,,,,
140,1966,Austria,b'Udo J\xc3\xbcrgens',b'Merci Ch\xc3\xa9rie',1,31,,,,
141,1966,Belgium,b'Tonia',"b'Un Peu De Poivre, Un Peu De Sel'",4,14,,,,
142,1966,Denmark,b'Ulla Pia',"b'Stop, Ja Stop - Ja Stop, Mens Legen Er Go'",14,4,,,,
143,1966,Finland,b'Ann-Christine Nystr\xc3\xb6m',b'Play-boy',10,7,,,,
144,1966,France,b'Dominique Walter',b'Chez Nous',16,1,,,,
145,1966,Germany,b'Margot Eskens',b'Die Zeiger Der Uhr',10,7,,,,
146,1966,Ireland,b'Dickie Rock',b'Come Back To Stay',4,14,,,,
147,1966,Italy,b'Domenico Modugno',b'Dio Come Ti Amo',17,0,,,,
148,1966,Luxembourg,b'Mich\xc3\xa8le Torr',"b""Ce Soir Je T'attendais""",10,7,,,,
149,1966,Monaco,b'Tereza',b'Bien Plus Fort',17,0,,,,
150,1966,Netherlands,b'Milly Scott',b'Fernando En Philippo',15,2,,,,
151,1966,Norway,b'\xc3\x85se Kleveland',b'Intet Er Nytt Under Solen',3,15,,,,
152,1966,Portugal,b'Madalena Iglesias',b'Ele E Ela',13,6,,,,
153,1966,Spain,b'Raphael',b'Yo Soy Aqu\xc3\xa9l',7,9,,,,
154,1966,Sweden,b'Lill Lindfors and Svante Thuresson',b'Nygammal Vals Eller Hip Man Svinaherde',2,16,,,,
155,1966,Switzerland,b'Madeleine Pascal',b'Ne Vois-tu Pas?',6,12,,,,
156,1966,United Kingdom,b'Kenneth McKellar',b'A Man Without Love',9,8,,,,
157,1966,Yugoslavia,b'Berta Ambroz',b'Brez Besed',7,9,,,,
158,1967,Austria,b'Peter Horten',b'Warum Es Hunderttausend Sterne Gibt',14,2,,,,
159,1967,Belgium,b'Louis Neefs',b'Ik Heb Zorgen',7,8,,,,
160,1967,Finland,b'Fredi',b'Varjoon-suojaan',12,3,,,,
161,1967,France,b'No\xc3\xablle Cordier',b'Il Doit Faire Beau L\xc3\xa0-bas',3,20,,,,
162,1967,Germany,b'Inge Br\xc3\xbcck',b'Anouschka',8,7,,,,
163,1967,Ireland,b'Sean Dunphy',b'If I Could Choose',2,22,,,,
164,1967,Italy,b'Claudio Villa',b'Non Andare Pi\xc3\xb9 Lontano',11,4,,,,
165,1967,Luxembourg,b'Vicky',"b""L'amour Est Bleu""",4,17,,,,
166,1967,Monaco,b'Minouche Barelli',b'Boum-badaboum',5,10,,,,
167,1967,Netherlands,b'Th\xc3\xa9r\xc3\xa8se Steinmetz',b'Ring-dinge',14,2,,,,
168,1967,Norway,b'Kirsti Sparboe',b'Dukkemann',14,2,,,,
169,1967,Portugal,b'Eduardo Nascimento',b'O Vento Mudou',12,3,,,,
170,1967,Spain,b'Raphael',b'Hablemos Del Amor',6,9,,,,
171,1967,Sweden,b'\xc3\x96sten Warnebring',b'Som En Dr\xc3\xb6m',8,7,,,,
172,1967,Switzerland,b'G\xc3\xa9raldine',b'Quel Coeur Vas-tu Briser?',17,0,,,,
173,1967,United Kingdom,b'Sandie Shaw',b'Puppet On A String',1,47,,,,
174,1967,Yugoslavia,b'Lado Leskovar',b'Vse Roze Sveta',8,7,,,,
175,1968,Austria,b'Karel Gott',b'Tausend Fenster',13,2,,,,
176,1968,Belgium,b'Claude Lombard',b'Quand Tu Reviendras',7,8,,,,
177,1968,Finland,b'Kristina Hautala',b'Kun Kello K\xc3\xa4y',16,1,,,,
178,1968,France,b'Isabelle Aubret',b'La Source',3,20,,,,
179,1968,Germany,b'Wencke Myhre',b'Ein Hoch Der Liebe',6,11,,,,
180,1968,Ireland,b'Pat McGeegan',b'Chance Of A Lifetime',4,18,,,,
181,1968,Italy,b'Sergio Endrigo',b'Marianne',10,7,,,,
182,1968,Luxembourg,b'Chris Baldo and Sophie Garel',"b""Nous Vivrons D'amour""",11,5,,,,
183,1968,Monaco,b'Line and Willy',b'A Chacun Sa Chanson',7,8,,,,
184,1968,Netherlands,b'Ronnie Tober',b'Morgen',16,1,,,,
185,1968,Norway,b'Odd B\xc3\xb8rre',b'Stress',13,2,,,,
186,1968,Portugal,b'Carlos Mendes',b'Ver\xc3\xa3o',11,5,,,,
187,1968,Spain,b'Massiel',"b'La, La, La...'",1,29,,,,
188,1968,Sweden,b'Claes-G\xc3\xb6ran Hederstr\xc3\xb6m',"b'Det B\xc3\xb6rjar Verka K\xc3\xa4rlek, Banne Mej'",5,15,,,,
189,1968,Switzerland,b'Gianni Mascolo',b'Guardando Il Sole',13,2,,,,
190,1968,United Kingdom,b'Cliff Richard',b'Congratulations',2,28,,,,
191,1968,Yugoslavia,b'Luci Kapurso and Hamo Hajdarhodzic',b'Jedan Dan',7,8,,,,
192,1969,Belgium,b'Louis Neefs',b'Jennifer Jennings',7,10,,,,
193,1969,Finland,b'Jarkko and Laura',b'Kuin Silloin Ennen',12,6,,,,
194,1969,France,b'Frida Boccara',"b'Un Jour, Un Enfant'",1,18,,,,
195,1969,Germany,b'Siw Malmkvist',b'Primaballerina',9,8,,,,
196,1969,Ireland,b'Muriel Day and the Lindsays',b'The Wages Of Love',7,10,,,,
197,1969,Italy,b'Iva Zanicchi',b'Due Grosse Lacrime Bianche',13,5,,,,
198,1969,Luxembourg,b'Romuald',b'Cath\xc3\xa9rine',11,7,,,,
199,1969,Monaco,b'Jean-Jacques',"b'Maman, Maman'",6,11,,,,
200,1969,Netherlands,b'Lenny Kuhr',b'De Troubadour',1,18,,,,
201,1969,Norway,b'Kirsti Sparboe',"b'Oj, Oj, Oj, S\xc3\xa5 Glad, Jeg Skal Bli'",16,1,,,,
202,1969,Portugal,b'Simone de Oliveira',b'Desfolhada Portuguesa',15,4,,,,
203,1969,Spain,b'Salom\xc3\xa9',b'Vivo Cantando',1,18,,,,
204,1969,Sweden,b'Tommy K\xc3\xb6rberg',"b'Judy, Min V\xc3\xa4n'",9,8,,,,
205,1969,Switzerland,b'Paola del Medico',"b'Bonjour, Bonjour'",5,13,,,,
206,1969,United Kingdom,b'Lulu',b'Boom Bang-a-bang',1,18,,,,
207,1969,Yugoslavia,b'Ivan',b'Pozdrav Svijetu',13,5,,,,
208,1970,Belgium,b'Jean Vall\xc3\xa9e',"b""Viens L'oublier""",8,5,,,,
209,1970,France,b'Guy Bonnet',b'Marie Blanche',4,8,,,,
210,1970,Germany,b'Katja Ebstein',b'Wunder Gibt Es Immer Wieder',3,12,,,,
211,1970,Ireland,b'Dana',b'All Kinds Of Everything',1,32,,,,
212,1970,Italy,b'Gianni Morandi',b'Occhi Di Ragazza',8,5,,,,
213,1970,Luxembourg,b'David-Alexandre Winter',b'Je Suis Tomb\xc3\xa9 Du Ciel',12,0,,,,
214,1970,Monaco,b'Dominique Dussault',b'Marl\xc3\xa8ne',8,5,,,,
215,1970,Netherlands,b'Patricia and Hearts of Soul',b'Waterman',7,7,,,,
216,1970,Spain,b'Julio Iglesias',b'Gwendolyne',4,8,,,,
217,1970,Switzerland,b'Henri D\xc3\xa8s',b'Retour',4,8,,,,
218,1970,United Kingdom,b'Mary Hopkin',"b""Knock, Knock (who's There?)""",2,26,,,,
219,1970,Yugoslavia,b'Eva Sr\xc5\xa1en',"b'Pridi, Dala Ti Bom Cvet'",11,4,,,,
220,1971,Austria,b'Marianne Mendt',b'Musik',16,66,,,,
221,1971,Belgium,b'Lily Castel and Jacques Raymond',"b'Goeie Morgen, Morgen'",14,68,,,,
222,1971,Finland,b'Markku Aro and Koivisto Sisters',b'Tie Uuteen P\xc3\xa4iv\xc3\xa4\xc3\xa4n',8,84,,,,
223,1971,France,b'Serge Lama',b'Un Jardin Sur La Terre',10,82,,,,
224,1971,Germany,b'Katja Ebstein',b'Diese Welt',3,100,,,,
225,1971,Ireland,b'Angela Farrell',b'One Day Love',11,79,,,,
226,1971,Italy,b'Massimo Ranieri',"b""L'amore \xc3\xa8 Un Attimo""",5,91,,,,
227,1971,Luxembourg,b'Monique Melsen',"b'Pomme, Pomme, Pomme'",13,70,,,,
228,1971,Malta,b'Joe Grech',b'Marija L-maltija',18,52,,,,
229,1971,Monaco,b'S\xc3\xa9verine',"b'Un Banc, Un Arbre, Une Rue'",1,128,,,,
230,1971,Netherlands,b'Saskia and Serge',b'De Tijd',6,85,,,,
231,1971,Norway,b'Hanne Krogh',b'Lykken Er...',17,65,,,,
232,1971,Portugal,b'Tonicha',b'Menina Do Alto Da Serra',9,83,,,,
233,1971,Spain,b'Karina',b'En Un Mundo Nuevo',2,116,,,,
234,1971,Sweden,b'Family Four',b'Vita Vidder',6,85,,,,
235,1971,Switzerland,"b'Peter, Sue and Marc'",b'Les Illusions De Nos Vingt Ans',12,78,,,,
236,1971,United Kingdom,b'Clodagh Rodgers',b'Jack In The Box',4,98,,,,
237,1971,Yugoslavia,b'Krunoslav Slabinac',b'Tvoj Djecak Je Tuzan',14,68,,,,
238,1972,Austria,b'The Milestones',b'Falter Im Wind',5,100,,,,
239,1972,Belgium,b'Serge and Christine Ghisoland',b'\xc3\x80 La Folie Ou Pas Du Tout',17,55,,,,
240,1972,Finland,b'P\xc3\xa4ivi Paunu and Kim Floor',b'Muistathan',12,78,,,,
241,1972,France,b'Betty Mars',b'Com\xc3\xa9-com\xc3\xa9die',11,81,,,,
242,1972,Germany,b'Mary Roos',b'Nur Die Liebe L\xc3\xa4\xc3\x9ft Uns Leben',3,107,,,,
243,1972,Ireland,b'Sandie Jones',b'Ceol On Ghr\xc3\xa1',15,72,,,,
244,1972,Italy,b'Nicola di Bari',"b""I Giorni Dell' Arcobaleno""",6,92,,,,
245,1972,Luxembourg,b'Vicky Leandros',b'Apr\xc3\xa8s Toi',1,128,,,,
246,1972,Malta,b'Helen and Joseph',b'L-imhabba',18,48,,,,
247,1972,Monaco,b'Anne-Marie Godart and Peter MacLane',"b""Comme On S'aime""",16,65,,,,
248,1972,Netherlands,b'Sandra and Andres',b'Als Het Om De Liefde Gaat',4,106,,,,
249,1972,Norway,b'Grethe Kausland and Benny Borg',b'Sm\xc3\xa5ting',14,73,,,,
250,1972,Portugal,b'Carlos Mendes',b'A Festa Da Vida',7,90,,,,
251,1972,Spain,b'Jaime Morey',b'Amanece',10,83,,,,
252,1972,Sweden,b'Family Four',b'H\xc3\xa4rliga Sommardag',13,75,,,,
253,1972,Switzerland,b'V\xc3\xa9ronique M\xc3\xbcller',"b""C'est La Chanson De Mon Amour""",8,88,,,,
254,1972,United Kingdom,b'The New Seekers',"b'Beg, Steal Or Borrow'",2,114,,,,
255,1972,Yugoslavia,b'Tereza',b'Muzika I Ti',9,87,,,,
256,1973,Belgium,b'Nicole and Hugo',"b'Baby, Baby'",17,58,,,,
257,1973,Finland,b'Marion Rung',b'Tom Tom Tom',6,93,,,,
258,1973,France,b'Martine Cl\xc3\xa9menceau',b'Sans Toi',15,65,,,,
259,1973,Germany,b'Gitte',b'Junger Tag',8,85,,,,
260,1973,Ireland,b'Maxi',b'Do I Dream?',10,80,,,,
261,1973,Israel,b'Ilanit',b'Ey-sham',4,97,,,,
262,1973,Italy,b'Massimo Ranieri',b'Chi Sar\xc3\xa0 Con Te',13,74,,,,
263,1973,Luxembourg,b'Anne-Marie David',b'Tu Te Reconna\xc3\xaetras',1,129,,,,
264,1973,Monaco,b'Marie',b'Un Train Qui Part',8,85,,,,
265,1973,Netherlands,b'Ben Cramer',b'De Oude Muzikant',14,69,,,,
266,1973,Norway,b'Bendik Singers',"b""It's Just A Game""",7,89,,,,
267,1973,Portugal,b'Fernando Tordo',b'Tourada',10,80,,,,
268,1973,Spain,b'Mocedades',b'Eres T\xc3\xba',2,125,,,,
269,1973,Sweden,b'The Nova and The Dolls',"b""You're Summer""",5,94,,,,
270,1973,Switzerland,b'Patrick Juvet',"b'Je Me Vais Marier, Marie'",12,79,,,,
271,1973,United Kingdom,b'Cliff Richard',b'Power To All Our Friends',3,123,,,,
272,1973,Yugoslavia,b'Zdravko Colic',b'Gori Vatra',15,65,,,,
273,1974,Belgium,b'Jacques Hustin',b'Fleur De Libert\xc3\xa9',9,10,,,,
274,1974,Finland,b'Carita',b'\xc3\x84la Mene Pois (keep Me Warm)',13,4,,,,
275,1974,Germany,b'Cindy und Bert',b'Die Sommermelodie',14,3,,,,
276,1974,Greece,b'Marinella',"b""Krassi, Thalassa Ke T'agori Mou""",11,7,,,,
277,1974,Ireland,b'Tina',b'Cross Your Heart',7,11,,,,
278,1974,Israel,b'Poogy',b'Natati La Khaiai',7,11,,,,
279,1974,Italy,b'Gigliola Cinquetti',b'Si',2,18,,,,
280,1974,Luxembourg,b'Ireen Sheer',"b'Bye, Bye, I Love You'",4,14,,,,
281,1974,Monaco,b'Romuald',"b""Celui Qui Reste Et Celui Qui S'en Va""",4,14,,,,
282,1974,Netherlands,b'Mouth and MacNeal',b'I See A Star',3,15,,,,
283,1974,Norway,b'Anne-Karine Str\xc3\xb6m and the Bendik Singers',b'The First Day Of Love',14,3,,,,
284,1974,Portugal,b'Paulo de Carvalho',b'E Depois Do Adeus',14,3,,,,
285,1974,Spain,b'Peret',b'Canta Y Se Feliz',9,10,,,,
286,1974,Sweden,b'ABBA',b'Waterloo',1,24,,,,
287,1974,Switzerland,b'Piera Martell',b'Mein Ruf Nach Dir',14,3,,,,
288,1974,United Kingdom,b'Olivia Newton-John',b'Long Live Love',4,14,,,,
289,1974,Yugoslavia,b'Korni',b'Generacija 42',12,6,,,,
290,1975,Belgium,b'Ann Christy',b'Gelukkig Zijn',15,17,,,,
291,1975,Finland,b'Pihasoittajat',b'Old Man Fiddle',7,74,,,,
292,1975,France,b'Nicole Rieu',"b""Et Bonjour \xc3\xa0 Toi L'artiste""",4,91,,,,
293,1975,Germany,b'Joy Fleming',b'Ein Lied Kann Eine Br\xc3\xbccke Sein',17,15,,,,
294,1975,Ireland,b'The Swarbriggs',"b""That's What Friends Are For""",9,68,,,,
295,1975,Israel,b'Shlomo Artzi',"b""At Ve'ani""",11,40,,,,
296,1975,Italy,b'Wess and Dori Ghezzi',b'Era',3,115,,,,
297,1975,Luxembourg,b'G\xc3\xa9raldine',b'Toi',5,84,,,,
298,1975,Malta,b'Renato',b'Singing This Song',12,32,,,,
299,1975,Monaco,b'Sophie',"b""Une Chanson C'est Une Lettre""",13,22,,,,
300,1975,Netherlands,b'Teach-In',b'Ding-A-Dong',1,152,,,,
301,1975,Norway,b'Ellen Nikolaysen',b'You Touched My Life With Summer',18,11,,,,
302,1975,Portugal,b'Duarte Mendes',b'Madrugada',16,16,,,,
303,1975,Spain,b'Sergio y Est\xc3\xadbaliz',b'T\xc3\xba Volver\xc3\xa1s',10,53,,,,
304,1975,Sweden,b'Lars Berghagen and the Dolls',"b'Jennie, Jennie'",8,72,,,,
305,1975,Switzerland,b'Simone Drexel',b'Mikado',6,77,,,,
306,1975,Turkey,b'Semiha Yanki',b'Seninle Bir Dakika',19,3,,,,
307,1975,United Kingdom,b'The Shadows',b'Let Me Be The One',2,138,,,,
